Price,Open,High,Low,Change %
271.6,271.6,271.6,271.6,0.0727
256.6,256.6,256.6,256.6,-0.0552
262.4,262.4,262.4,262.4,0.0226
290.7,290.7,290.7,290.7,0.1079
293.5,293.5,293.5,293.5,0.0096
297.3,297.3,297.3,297.3,0.0129
326.7,326.7,326.7,326.7,0.0989
404.5,404.5,404.5,404.5,0.2381
385.7,385.7,385.7,385.7,-0.0465
419.1,396.5,421,390,0.0866
533.6,430.5,534.5,424,0.2732
681.5,562.5,875,558,0.2772
631,677,729,599,-0.0741
501.5,631,648.5,453,-0.2052
501.6,504,562,465,0.0002
545.2,490.6,552,478,0.0869
647.4,567,658.5,550,0.1875
619.7,662.9,691,604,-0.0428
635,620,649,600,0.0247
671.5,639.7,727,635.5,0.0575
636,682,694,620,-0.0529
624.6,648,659,585,-0.0179
591.3,636,638.5,539,-0.0533
501.7,584.3,599.5,485,-0.1515
481.5,494,519.5,480,-0.0403
513.8,467,553,453,0.0671
483.9,513.5,535,468,-0.0582
479.4,488,492,464,-0.0093
423.5,481,485.5,422.5,-0.1166
403.5,423.3,425.5,394.2,-0.0472
425,390,439,387.5,0.0533
432.7,421.7,466,417.5,0.0181
427,436,459,424,-0.0132
408.3,428.1,431,394,-0.0438
399.2,403,428.5,394,-0.0223
384.6,394.7,405,368,-0.0366
360.5,380.1,386.8,359,-0.0627
327.5,322.5,328,316.4,-0.0915
342.7,327.5,370,322.8,0.0464
322.2,345.5,345.5,321.5,-0.0598
314.8,319,337.5,295,-0.023
342.7,310.5,366.5,309,0.0886
408.6,354,430.5,330.5,0.1923
398.5,412.2,496,390.5,-0.0247
419.7,403,454.5,385,0.0532
442.6,416,443.5,416,0.0546
449.9,439.5,459.5,431.1,0.0165
510.1,492,511,490,0.1338
400.5,508.5,514,396,-0.2149
415.9,411,441,405,0.0385
430.3,417,446,417,0.0346
412,429,445,410,-0.0425
415.5,415,424.8,396.2,0.0085
412.8,416.5,430.3,409.8,-0.0065
414.4,412.5,427.5,405.5,0.0039
401.9,415.5,418.5,397,-0.0302
376.2,392,404,375.5,-0.0639
403,377,408.8,374.2,0.0712
385.1,400.5,404,372,-0.0444
373.8,381,381,363.5,-0.0293
395.8,378.5,401.5,375.1,0.0589
387.5,393.5,405.5,385,-0.021
376.1,387.8,391,376.1,-0.0294
386.8,377.1,388.5,369.5,0.0284
372.8,389.5,398,368,-0.0362
337.7,370.3,371.3,332,-0.0942
348.4,338.2,358,336.5,0.0317
344.9,340,349.5,334.5,-0.01
333.6,346,349.5,333.8,-0.0328
329.1,343.2,350,327.5,-0.0135
307.9,328.7,334.5,304.7,-0.0644
304.1,303.3,308,298,-0.0123
287,303,305.5,281.2,-0.0562
329.6,286.4,341,286.4,0.1484
314.5,321,334,315,-0.0458
316.2,315,325,309.8,0.0054
315.7,317.5,328.2,309.8,-0.0016
327.1,309,329.7,309,0.0361
333.2,325,342.2,318.5,0.0186
322.8,327,329.7,317,-0.0312
324.7,321.7,330.6,321,0.0059
322.9,325,332,322.7,-0.0055
329,324,328.2,313,0.0189
348.8,327,364,327,0.0602
339,346.5,355.4,329,-0.0281
331.1,336.2,350.9,330.5,-0.0233
346.2,332.5,348.7,328,0.0456
344.1,341.1,345.3,339,-0.0061
345.7,343.4,352,334.7,0.0046
362.7,342.5,365,342.5,0.0492
387.6,360.7,397,357.5,0.0687
425.7,393.1,431.5,392,0.0983
403.6,425.9,443,399,-0.0519
390.9,402.9,410.9,380.3,-0.0315
404.9,399,400,383,0.0358
405.1,401.5,424.5,397,0.0005
405.4,405.5,409,389,0.0007
418,410.4,425,403.9,0.0311
454.1,417.6,478.5,415,0.0864
450.2,455,475,448.8,-0.0086
449.4,445,465.5,434,-0.0018
464.1,446.8,464.8,445.3,0.0327
450.6,475,479,448,-0.0291
452.7,454.2,465.3,452.2,0.0047
468.8,453.5,491.5,452.8,0.0356
491,469.9,497,456,0.0474
486.1,488,502.3,475,-0.01
454.2,479.2,484,450,-0.0656
430.5,454.8,457.5,424,-0.0522
454.4,429.2,460,427.5,0.0555
451,457.3,462,446,-0.0075
455,445.6,459.3,444.8,0.0089
435.3,457.5,469.5,434.5,-0.0433
436.1,437.9,447,425.9,0.0018
431.3,436.8,437.2,422,-0.011
394.4,430,430,391.8,-0.0856
412.7,394.7,414.3,393.3,0.0464
424.8,411,425.7,411,0.0293
410,425,433.5,408.2,-0.0348
391.6,410.8,410.8,389.5,-0.0449
387.5,392.3,398,380,-0.0105
385.1,383.5,396.5,381.5,-0.0062
377.9,386,393,377.5,-0.0187
363.3,378,379.8,363,-0.0386
374.6,363,381,356.5,0.0311
370.5,381,386.5,365.8,-0.0109
359.9,370,375,360,-0.0286
367.2,359,369.2,359,0.0203
374.7,366,378,361,0.0204
411.6,374.2,415.5,374.2,0.0985
402.5,413,418.7,398.6,-0.0221
412.4,399.6,422,393,0.0246
406.1,413,425,405.5,-0.0153
